GRAMS	Dust Mass(Msun)	Max C2H2 log(n/cm2)
2997	7.06729E-03	20.01
2998	5.65383E-03	19.92
2999	5.65383E-04	18.92
3000	5.65383E-05	17.92
3001	5.65383E-06	16.92
3002	9.89420E-03	20.16
3003	8.48075E-03	20.09
3004	8.48075E-04	19.09
3005	1.13077E-02	20.22
3006	1.13077E-03	19.22
3007	1.13077E-04	18.22
3008	1.13077E-05	17.22
3009	1.41346E-03	19.31
3010	1.69615E-03	19.39
3011	1.69615E-04	18.39
3012	1.69615E-05	17.39
3013	1.97884E-03	19.46
3014	2.26153E-03	19.52
3015	2.26153E-04	18.52
3016	2.26153E-05	17.52
3017	2.54422E-03	19.57
3018	1.24615E-02	19.79
3019	8.30767E-03	19.62
3020	8.30767E-04	18.62
3021	8.30767E-05	17.62
3022	8.30767E-06	16.62
3023	2.07692E-02	20.01
3024	1.66153E-02	19.92
3025	1.66153E-03	18.92
3026	1.66153E-04	17.92
3027	1.66153E-05	16.92
3028	2.90768E-02	20.16
3029	2.49230E-02	20.09
3030	2.49230E-03	19.09
3031	3.32307E-02	20.22
3032	3.32307E-03	19.22
3033	3.32307E-04	18.22
3034	3.32307E-05	17.22
3035	4.15383E-03	19.31
3036	4.98460E-03	19.39
3037	4.98460E-04	18.39
3038	4.98460E-05	17.39
3039	5.81537E-03	19.46
3040	6.64614E-03	19.52
3041	6.64614E-04	18.52
3042	6.64614E-05	17.52
3043	7.47690E-03	19.57
3044	1.63418E-06	17.62
3045	1.63418E-07	16.62
3046	3.26836E-06	17.92
3047	3.26836E-07	16.92
3048	6.53671E-06	18.22
3049	6.53671E-07	17.22
3050	9.80506E-06	18.39
3051	9.80506E-07	17.39
3052	1.30734E-05	18.52
3053	1.30734E-06	17.52
3054	6.53671E-04	19.62
3055	6.53671E-05	18.62
3056	6.53671E-06	17.62
3057	6.53671E-07	16.62
3058	1.30734E-04	18.92
3059	1.30734E-05	17.92
3060	1.30734E-06	16.92
3061	1.96101E-04	19.09
3062	2.61468E-04	19.22
3063	2.61468E-05	18.22
3064	2.61468E-06	17.22
3065	3.26836E-04	19.31
3066	3.92203E-04	19.39
3067	3.92203E-05	18.39
3068	3.92203E-06	17.39
3069	4.57570E-04	19.46
3070	5.22937E-04	19.52
3071	5.22937E-05	18.52
3072	5.22937E-06	17.52
3073	5.88304E-04	19.57
3074	2.20614E-03	19.79
3075	1.47076E-03	19.62
3076	1.47076E-04	18.62
3077	1.47076E-05	17.62
3078	1.47076E-06	16.62
3079	3.67690E-03	20.01
3080	2.94152E-03	19.92
3081	2.94152E-04	18.92
3082	2.94152E-05	17.92
3083	2.94152E-06	16.92
3084	4.41228E-03	20.09
3085	4.41228E-04	19.09
3086	5.88304E-04	19.22
3087	5.88304E-05	18.22
3088	5.88304E-06	17.22
3089	7.35380E-04	19.31
3090	8.82456E-04	19.39
3091	8.82456E-05	18.39
3092	8.82456E-06	17.39
3093	1.02953E-03	19.46
3094	1.17661E-03	19.52
3095	1.17661E-04	18.52
3096	1.17661E-05	17.52
3097	1.32368E-03	19.57
3098	5.33831E-03	19.79
3099	3.55888E-03	19.62
3100	3.55888E-04	18.62
3101	3.55888E-05	17.62
3102	3.55888E-06	16.62
