            wave            flux
            (um)    (normalized)
      0.54118789      1.00000000
      0.54163906      1.00000000
      0.54209062      1.00000000
      0.54254255      1.00000000
      0.54299486      1.00000000
      0.54344754      1.00000000
      0.54390060      1.00000000
      0.54435404      1.00000000
      0.54480786      1.00000000
      0.54526205      1.00000000
      0.54571663      1.00000000
      0.54617158      1.00000000
      0.54662692      1.00000000
      0.54708263      1.00000000
      0.54753872      1.00000000
      0.54799519      1.00000000
      0.54845205      1.00000000
      0.54890928      1.00000000
      0.54936689      1.00000000
      0.54982489      1.00000000
      0.55028327      1.00000000
      0.55074203      1.00000000
      0.55120117      1.00000000
      0.55166070      1.00000000
      0.55212061      1.00000000
      0.55258090      1.00000000
      0.55304158      1.00000000
      0.55350264      1.00000000
      0.55396408      1.00000000
      0.55442591      1.00000000
      0.55488812      1.00000000
      0.55535072      1.00000000
      0.55581371      1.00000000
      0.55627708      1.00000000
      0.55674084      1.00000000
      0.55720498      1.00000000
      0.55766951      1.00000000
      0.55813443      1.00000000
      0.55859974      1.00000000
      0.55906543      1.00000000
      0.55953151      1.00000000
      0.55999798      1.00000000
      0.56046484      1.00000000
      0.56093209      1.00000000
      0.56139973      1.00000000
      0.56186776      1.00000000
      0.56233618      1.00000000
      0.56280498      1.00000000
      0.56327418      1.00000000
      0.56374378      1.00000000
      0.56421376      1.00000000
      0.56468413      1.00000000
      0.56515490      1.00000000
      0.56562606      1.00000000
      0.56609761      1.00000000
      0.56656955      1.00000000
      0.56704189      1.00000000
      0.56751462      1.00000000
      0.56798775      1.00000000
      0.56846127      1.00000000
      0.56893518      1.00000000
      0.56940949      1.00000000
      0.56988420      1.00000000
      0.57035930      1.00000000
      0.57083480      1.00000000
      0.57131069      1.00000000
      0.57178698      1.00000000
      0.57226367      1.00000000
      0.57274076      1.00000000
      0.57321824      1.00000000
      0.57369612      1.00000000
      0.57417440      1.00000000
      0.57465308      1.00000000
      0.57513216      1.00000000
      0.57561163      1.00000000
      0.57609151      1.00000000
      0.57657178      1.00000000
      0.57705246      1.00000000
      0.57753354      1.00000000
      0.57801502      1.00000000
      0.57849690      1.00000000
      0.57897918      1.00000000
      0.57946186      1.00000000
      0.57994495      1.00000000
      0.58042844      1.00000000
      0.58091233      1.00000000
      0.58139663      1.00000000
      0.58188132      1.00000000
      0.58236643      1.00000000
      0.58285194      1.00000000
      0.58333785      1.00000000
      0.58382417      1.00000000
      0.58431089      1.00000000
      0.58479802      1.00000000
      0.58528555      1.00000000
      0.58577349      1.00000000
      0.58626184      1.00000000
      0.58675060      1.00000000
      0.58723976      1.00000000
      0.58772933      1.00000000
      0.58821931      1.00000000
      0.58870970      1.00000000
      0.58920049      1.00000000
      0.58969170      1.00000000
      0.59018331      1.00000000
      0.59067534      1.00000000
      0.59116777      1.00000000
      0.59166061      1.00000000
      0.59215387      1.00000000
      0.59264754      1.00000000
      0.59314162      1.00000000
      0.59363611      1.00000000
      0.59413101      1.00000000
      0.59462633      1.00000000
      0.59512205      1.00000000
      0.59561820      1.00000000
      0.59611475      1.00000000
      0.59661172      1.00000000
      0.59710910      1.00000000
      0.59760690      1.00000000
      0.59810512      1.00000000
      0.59860375      1.00000000
      0.59910279      1.00000000
      0.59960225      1.00000000
      0.60010213      1.00000000
      0.60060242      1.00000000
      0.60110313      1.00000000
      0.60160426      1.00000000
      0.60210581      1.00000000
      0.60260777      1.00000000
      0.60311015      1.00000000
      0.60361295      1.00000000
      0.60411617      1.00000000
      0.60461981      1.00000000
      0.60512387      1.00000000
      0.60562835      1.00000000
      0.60613325      1.00000000
      0.60663858      1.00000000
      0.60714432      1.00000000
      0.60765048      1.00000000
      0.60815707      1.00000000
      0.60866408      1.00000000
      0.60917151      1.00000000
      0.60967936      1.00000000
      0.61018764      1.00000000
      0.61069634      1.00000000
      0.61120547      1.00000000
      0.61171502      1.00000000
      0.61222499      1.00000000
      0.61273539      1.00000000
      0.61324622      1.00000000
      0.61375747      1.00000000
      0.61426915      1.00000000
      0.61478125      1.00000000
      0.61529379      1.00000000
      0.61580674      1.00000000
      0.61632013      1.00000000
      0.61683394      1.00000000
      0.61734819      1.00000000
      0.61786286      1.00000000
      0.61837796      1.00000000
      0.61889349      1.00000000
      0.61940945      1.00000000
      0.61992584      1.00000000
      0.62044266      1.00000000
      0.62095991      1.00000000
      0.62147759      1.00000000
      0.62199571      1.00000000
      0.62251425      1.00000000
      0.62303323      1.00000000
      0.62355264      1.00000000
      0.62407248      1.00000000
      0.62459276      1.00000000
      0.62511347      1.00000000
      0.62563462      1.00000000
      0.62615620      1.00000000
      0.62667821      1.00000000
      0.62720066      1.00000000
      0.62772355      1.00000000
      0.62824687      1.00000000
      0.62877062      1.00000000
      0.62929482      1.00000000
      0.62981945      1.00000000
      0.63034452      1.00000000
      0.63087002      1.00000000
      0.63139597      1.00000000
      0.63192235      1.00000000
      0.63244917      1.00000000
      0.63297643      1.00000000
      0.63350413      1.00000000
      0.63403227      1.00000000
      0.63456085      1.00000000
      0.63508987      1.00000000
      0.63561934      1.00000000
      0.63614924      1.00000000
      0.63667958      1.00000000
      0.63721037      1.00000000
      0.63774160      1.00000000
      0.63827328      1.00000000
      0.63880539      1.00000000
      0.63933795      1.00000000
      0.63987095      1.00000000
      0.64040440      1.00000000
      0.64093830      1.00000000
      0.64147263      1.00000000
      0.64200742      1.00000000
      0.64254265      1.00000000
      0.64307832      1.00000000
      0.64361444      1.00000000
      0.64415101      1.00000000
      0.64468803      1.00000000
      0.64522549      1.00000000
      0.64576340      1.00000000
      0.64630177      1.00000000
      0.64684057      1.00000000
      0.64737983      1.00000000
      0.64791954      1.00000000
      0.64845970      1.00000000
      0.64900031      1.00000000
      0.64954137      1.00000000
      0.65008288      1.00000000
      0.65062484      1.00000000
      0.65116725      1.00000000
      0.65171012      1.00000000
      0.65225344      1.00000000
      0.65279721      1.00000000
      0.65334143      1.00000000
      0.65388611      1.00000000
      0.65443124      1.00000000
      0.65497683      1.00000000
      0.65552287      1.00000000
      0.65606937      1.00000000
      0.65661632      1.00000000
      0.65716373      1.00000000
      0.65771159      1.00000000
      0.65825991      1.00000000
      0.65880869      1.00000000
      0.65935793      1.00000000
      0.65990762      1.00000000
      0.66045777      1.00000000
      0.66100838      1.00000000
      0.66155945      1.00000000
      0.66211098      1.00000000
      0.66266297      1.00000000
      0.66321542      1.00000000
      0.66376833      1.00000000
      0.66432170      1.00000000
